Location,Air Pollution,Asthma,Smoking,Population,Population_Density,Year
,locat,,,,,
Missouri,9.7,9.7,20.6,5890900,85.69579006,2015
,,,,,,
Montana,5.7,9.6,19.9,1005900,6.911217072,2015
,,,,,,
Nebraska,7.8,7.7,17.3,1838400,23.93002187,2015
,,,,,,
Nevada,10,8.1,17,2842700,25.89428043,2015
,,,,,,
New Hampshire,7.2,10.2,17.5,1287600,143.8177147,2015
,,,,,,
New Jersey,8.8,8.3,15.1,8776300,1193.40495,2015
,,,,,,
New Mexico,6.6,9.9,19.1,2035300,16.77933684,2015
,,,,,,
New York,8,10.7,14.4,19269200,408.8868141,2015
,,,,,,
North Carolina,8.7,7.8,19.1,9733700,200.207742,2015
,,,,,,
North Dakota,5.2,8.7,19.9,726400,10.52738366,2015
,,,,,,
Ohio,10.6,10.8,21,11293300,276.3833484,2015
,,,,,,
Oklahoma,9.5,9.7,21.1,3783700,55.15999708,2015
,,,,,,
Oregon,6.7,10.2,17,3948700,41.13743385,2015
,,,,,,
Pennsylvania,11.4,9.8,19.9,12386400,276.8343652,2015
,,,,,,
Rhode Island,7.8,10.8,16.3,1014400,981.0444874,2015
,,,,,,
South Carolina,9,8.3,21.5,4734000,157.4797911,2015
,,,,,,
South Dakota,6.3,7.5,18.6,829000,10.93508858,2015
,,,,,,
Tennessee,9.1,8.9,24.2,6422800,155.7608827,2015
,,,,,,
Texas,9.9,6.7,14.5,26777500,102.5046702,2015
,,,,,,
Utah,8.9,8.7,9.7,2945200,35.842765,2015
,,,,,,
Vermont,6.2,11.3,16.4,602400,65.35749159,2015
,,,,,,
Virginia,8.3,8.6,19.5,8051200,203.8794632,2015
,,,,,,
Washington,8,9.3,15.3,7002800,105.374985,2015
,,,,,,
West Virginia,9.4,11,26.7,1791500,74.52783093,2015
,,,,,,
Wisconsin,9.1,10.3,17.4,5620900,103.7870675,2015
,,,,,,
Wyoming,5,8.3,19.5,568900,5.859330745,2015
,,,,,,
Alabama,9.1,9.9,21.4,4730100,93.39717642,2016
,,,,,,
Alaska,8.8,9.2,19.1,714900,1.252801674,2016
,,,,,,
Arizona,9.3,9.3,14,6760900,59.51810835,2016
,,,,,,
Arkansas,7.5,10.1,24.9,2895400,55.643317,2016
,,,,,,
California,11.4,7.7,11.7,38442400,246.7752393,2016
,,,,,,
Colorado,6.6,9,15.6,5398100,52.08409718,2016
,,,,,,
Connecticut,8.8,10.5,13.5,3465100,715.6340355,2016
,,,,,,
Delaware,9.5,9.2,17.4,924300,474.2432016,2016
,,,,,,
Florida,6.8,7.4,15.8,20144000,375.6456876,2016
,,,,,,
Georgia,9.1,9.2,17.7,10001000,173.8911203,2016
,,,,,,
Hawaii,7,10,14.1,1364600,212.455239,2016
,,,,,,
Idaho,8.5,9.1,13.8,1650700,19.97386349,2016
,,,,,,
Illinois,10.8,8.4,15.1,12491200,224.9896432,2016
,,,,,,
Indiana,10.5,10.2,20.6,6431400,179.5176687,2016
,,,,,,
Iowa,8.6,7.6,18.1,3030400,54.25282418,2016
,,,,,,
Kansas,8,8.7,17.7,2817000,34.45492239,2016
,,,,,,
Kentucky,9.1,11.9,25.9,4287700,108.5878539,2016
,,,,,,
Louisiana,8.1,8.2,21.9,4530500,104.8629757,2016
,,,,,,
Maine,6.8,11.2,19.5,1293800,41.94792984,2016
,,,,,,
Maryland,9.1,8.8,15.1,5856500,603.3274956,2016
,,,,,,
Massachusetts,6.4,10.2,14,6570600,842.3846154,2016
,,,,,,
Michigan,8.6,10.2,20.7,9693500,171.448027,2016
,,,,,,
Minnesota,8,7.4,16.2,5392900,67.72702726,2016
,,,,,,
Mississippi,8.1,7.8,22.5,2887300,61.53272382,2016
,,,,,,
Missouri,9.1,9.6,22.3,5898000,85.7990748,2016
,,,,,,
Montana,6.3,8.9,18.9,1015100,6.974427329,2016
,,,,,,
Nebraska,7.3,7.2,17.1,1845000,24.01593252,2016
,,,,,,
Nevada,9.2,8.1,17.5,2890400,26.32878185,2016
