Location,Asthma,Smoking,Population,Median AQI,Population Density,Crowded Housing,Access to Care - Annual
Arkansas,8.8,24.7,2882300.0,32.45454545454545,55.39156337080811,,
California,7.8,12.8,38325100.0,49.425925925925924,246.02224946879875,,
Colorado,8.4,15.7,5315400.0,35.45161290322581,51.286158121224986,,
Connecticut,9.2,15.4,3478100.0,41.0,718.3188764973152,,
Delaware,8.8,19.9,918300.0,43.666666666666664,471.1646998460749,,
Florida,8.0,17.6,19812500.0,34.51282051282051,369.46386946386946,,
Georgia,8.3,17.4,9909700.0,37.8125,172.30365308712814,,
Hawaii,9.2,14.1,1362600.0,52.25,212.14385801027558,,
Idaho,8.6,15.9,1617200.0,23.857142857142858,19.56850549955834,,
Illinois,9.1,16.5,12549700.0,34.76923076923077,226.04333651542714,,
Indiana,10.7,22.9,6415100.0,35.17777777777778,179.06269189973762,,
Iowa,8.5,18.5,3019800.0,36.1578947368421,54.06305386970299,,
Kansas,8.7,18.1,2816600.0,32.27272727272727,34.450029966119935,,
Kentucky,11.9,26.2,4283400.0,38.785714285714285,108.47895456617535,,
Louisiana,7.7,24.0,4530300.0,36.72727272727273,104.85834644940283,,
Maine,11.6,19.3,1292600.0,32.75,41.909023117076806,,
Maryland,8.5,14.6,5838300.0,43.4375,601.4525600082414,,
Massachusetts,12.0,14.7,6555600.0,36.23076923076923,840.4615384615385,,
Michigan,10.9,21.2,9693800.0,36.67857142857143,171.4533330975079,,
Minnesota,8.4,16.3,5365600.0,31.428571428571427,67.38417873334421,,
Mississippi,7.4,23.0,2889300.0,35.63636363636363,61.5753468448309,,
Missouri,9.7,20.6,5890900.0,35.82608695652174,85.6957900555701,,
Montana,9.6,19.9,1005900.0,28.473684210526315,6.911217072265813,,
Nebraska,7.7,17.3,1838400.0,26.09090909090909,23.930021868166197,,
Nevada,8.1,17.0,2842700.0,39.55555555555556,25.89428043103998,,
New Hampshire,10.2,17.5,1287600.0,37.42857142857143,143.8177147324919,,
New Jersey,8.3,15.1,8776300.0,39.625,1193.404949687245,,
New Mexico,9.9,19.1,2035300.0,28.470588235294116,16.779336839848966,,
New York,10.7,14.4,19269200.0,35.724137931034484,408.8868140729109,,
North Carolina,7.8,19.1,9733700.0,37.733333333333334,200.2077419885639,,
North Dakota,8.7,19.9,726400.0,33.1,10.527383661106361,,
Ohio,10.8,21.0,11293300.0,36.73170731707317,276.38334842514865,,
Oklahoma,9.7,21.1,3783700.0,35.56521739130435,55.15999708433559,,
Oregon,10.2,17.0,3948700.0,28.869565217391305,41.137433845897405,,
Pennsylvania,9.8,19.9,12386400.0,42.21052631578947,276.8343651520908,,
Rhode Island,10.8,16.3,1014400.0,39.666666666666664,981.0444874274662,,
South Carolina,8.3,21.5,4734000.0,35.89473684210526,157.4797910914474,,
South Dakota,7.5,18.6,829000.0,33.3,10.93508857553653,,
Tennessee,8.9,24.2,6422800.0,36.333333333333336,155.7608827452407,,
Texas,6.7,14.5,26777500.0,37.19512195121951,102.50467017823237,,
Utah,8.7,9.7,2945200.0,40.5,35.842764999391505,,
Vermont,11.3,16.4,602400.0,29.0,65.35749159162417,,
Virginia,8.6,19.5,8051200.0,32.22857142857143,203.87946315522916,,
Washington,9.3,15.3,7002800.0,27.17241379310345,105.37498495244974,,
West Virginia,11.0,26.7,1791500.0,34.46666666666667,74.52783093435394,,
Wisconsin,10.3,17.4,5620900.0,36.32142857142857,103.78706746925661,,
Wyoming,8.3,19.5,568900.0,34.78947368421053,5.859330744749879,,
Alabama,9.9,21.4,4730100.0,39.388888888888886,93.39717642412874,,
Alaska,9.2,19.1,714900.0,24.142857142857142,1.2528016739070624,,
Arizona,9.3,14.0,6760900.0,45.69230769230769,59.51810835079318,,
Arkansas,10.1,24.9,2895400.0,33.54545454545455,55.643316998174306,,
California,7.7,11.7,38442400.0,46.388888888888886,246.77523928128952,,
Colorado,9.0,15.6,5398100.0,35.1875,52.08409718067965,,
Connecticut,10.5,13.5,3465100.0,40.25,715.6340355225113,,
Delaware,9.2,17.4,924300.0,41.333333333333336,474.24320164186764,,
Florida,7.4,15.8,20144000.0,37.1025641025641,375.64568764568764,,
Georgia,9.2,17.7,10001000.0,38.5,173.89112026846104,,
Hawaii,10.0,14.1,1364600.0,54.25,212.45523898489802,,
Idaho,9.1,13.8,1650700.0,23.61904761904762,19.973863485110655,,
Illinois,8.4,15.1,12491200.0,32.592592592592595,224.98964318521587,,
Indiana,10.2,20.6,6431400.0,33.357142857142854,179.51766873220566,,
Iowa,7.6,18.1,3030400.0,34.10526315789474,54.25282417602091,,
Kansas,8.7,17.7,2817000.0,31.90909090909091,34.4549223938649,,
Kentucky,11.9,25.9,4287700.0,39.357142857142854,108.58785392290939,,
Louisiana,8.2,21.9,4530500.0,37.31818181818182,104.86297565040275,,
Maine,11.2,19.5,1293800.0,31.818181818181817,41.947929838212886,,
Maryland,8.8,15.1,5856500.0,41.1875,603.3274956217163,,
Massachusetts,10.2,14.0,6570600.0,35.76923076923077,842.3846153846154,,
Michigan,10.2,20.7,9693500.0,34.714285714285715,171.44802702559295,,
Minnesota,7.4,16.2,5392900.0,28.65,67.7270272646213,,
Mississippi,7.8,22.5,2887300.0,36.90909090909091,61.53272382413741,,
Missouri,9.6,22.3,5898000.0,34.0,85.79907480143144,,
Montana,8.9,18.9,1015100.0,26.68421052631579,6.974427328817006,,
Nebraska,7.2,17.1,1845000.0,25.5,24.01593252108716,,
Nevada,8.1,17.5,2890400.0,36.77777777777778,26.32878184749638,,
New Hampshire,10.1,15.9,1291300.0,36.0,144.2309840277002,,
New Jersey,7.2,13.5,8762700.0,39.625,1191.5556159912971,,
New Mexico,9.9,17.5,2029400.0,30.5625,16.730696301670267,,
New York,9.9,15.2,19221500.0,34.758620689655174,407.8746339600221,,
North Carolina,8.2,19.0,9829900.0,36.8421052631579,202.1864330083508,,
North Dakota,9.0,18.7,725900.0,30.1,10.520137389313199,,
Ohio,10.0,21.6,11278700.0,35.829268292682926,276.0260394997675,,
Oklahoma,9.5,22.2,3800800.0,36.24,55.40928639113638,,
Oregon,11.2,17.1,4014500.0,24.636363636363637,41.82293620035838,,
Pennsylvania,10.2,18.1,12364700.0,40.526315789473685,276.3493730862928,,
Rhode Island,11.0,15.5,1013900.0,37.0,980.5609284332688,,
South Carolina,8.2,19.7,4805300.0,37.3,159.8516350088154,,
South Dakota,8.4,20.1,835800.0,30.9,11.024785321391354,,
Tennessee,9.0,21.9,6467700.0,36.416666666666664,156.84976355038197,,
Texas,7.6,15.2,27178300.0,32.91489361702128,104.03893856801616,,
Utah,9.0,9.1,2999300.0,39.5,36.50115613971035,,
Vermont,11.0,16.0,599600.0,29.0,65.05370511012259,,
Virginia,7.9,16.5,8080900.0,30.029411764705884,204.63155229171943,,
Washington,9.4,15.0,7124100.0,24.103448275862068,107.20025279884435,,
West Virginia,10.8,25.7,1781700.0,34.357142857142854,74.12014310674765,,
Wisconsin,9.5,17.3,5623300.0,34.642857142857146,103.83138225192954,,
Wyoming,8.0,19.1,569400.0,37.27777777777778,5.864480446582143,,
Alabama,9.7,21.5,4741400.0,38.27777777777778,93.62029815381578,,
Alaska,8.8,19.0,710100.0,22.0,1.2443900806286263,,
Arizona,9.4,14.7,6841300.0,47.23076923076923,60.22589221261686,,
Arkansas,8.5,23.6,2910000.0,37.09090909090909,55.92389737676564,,
California,7.8,11.0,38713900.0,49.0188679245283,248.5180929393564,,
Colorado,8.8,15.6,5461100.0,36.4375,52.69195885837788,,
Connecticut,10.5,13.3,3478700.0,38.25,718.4427922346138,,
Delaware,8.5,17.7,931700.0,41.333333333333336,478.04002052334533,,
Florida,6.7,15.5,20532300.0,36.8974358974359,382.8867132867133,,
Georgia,8.5,17.9,10121400.0,37.12903225806452,175.9845600125189,,
Hawaii,10.7,13.1,1356100.0,52.5,211.13186984275262,,
Idaho,9.3,14.5,1682100.0,27.38095238095238,20.35381097007611,,
Illinois,8.9,15.8,12496600.0,36.23076923076923,225.0869071849277,,
Indiana,10.2,21.1,6459400.0,35.51219512195122,180.2992240272428,,
Iowa,7.8,16.7,3045600.0,35.77777777777778,54.52494763413717,,
Kansas,8.8,17.2,2817600.0,32.63636363636363,34.462261035482335,,
Kentucky,11.6,24.5,4307100.0,39.07142857142857,109.07916729980246,,
Louisiana,8.4,22.8,4541500.0,34.95652173913044,105.11758170539765,,
Maine,12.2,19.8,1300200.0,33.81818181818182,42.155432350938625,,
Maryland,9.4,13.7,5892900.0,39.76470588235294,607.0773668486659,,
Massachusetts,10.3,13.6,6620600.0,37.46153846153846,848.7948717948718,,
Michigan,10.9,20.4,9720300.0,35.42857142857143,171.92203611666284,,
Minnesota,7.6,15.2,5446600.0,31.55,68.40142162834215,,
Mississippi,8.0,22.7,2884500.0,35.81818181818182,61.47305159516655,,
Missouri,9.9,22.1,5921300.0,35.791666666666664,86.13802333362428,,
Montana,8.5,18.5,1022600.0,30.894736842105264,7.025957429266349,,
Nebraska,8.3,17.0,1859200.0,28.555555555555557,24.20077059252317,,
Nevada,7.9,16.5,2946600.0,38.111111111111114,26.8407101410991,,
New Hampshire,11.4,18.0,1297000.0,36.0,144.86764213112923,,
New Jersey,8.2,14.0,8823900.0,38.4375,1199.8776176230622,,
New Mexico,11.8,16.6,2038200.0,31.875,16.80324490098765,,
New York,9.5,14.2,19315700.0,32.61290322580645,409.8735305351611,,
North Carolina,8.0,17.9,9948800.0,36.55263157894737,204.63202928956355,,
North Dakota,9.0,19.8,726000.0,33.27272727272727,10.521586643671831,,
Ohio,9.7,22.5,11323500.0,35.46341463414634,277.1224394899782,,
Oklahoma,10.0,19.6,3803700.0,35.42857142857143,55.45156352503827,,
Oregon,10.5,16.2,4063000.0,28.695652173913043,42.32820769262825,,
Pennsylvania,10.6,18.0,12389100.0,40.68421052631579,276.8947097870058,,
Rhode Island,10.7,14.4,1015900.0,34.333333333333336,982.495164410058,,
South Carolina,8.8,20.0,4864600.0,35.578947368421055,161.82429060909485,,
South Dakota,6.2,18.1,837000.0,31.6,11.040614158895147,,
Tennessee,10.9,22.1,6538200.0,36.82608695652174,158.55947617315388,,
Texas,7.6,14.3,27621300.0,32.87755102040816,105.73474918846084,,
Utah,8.3,8.8,3047400.0,44.214285714285715,37.08652792990142,,
Vermont,10.2,17.0,600200.0,29.25,65.1188022133015,,
Virginia,8.6,15.3,8140700.0,29.742857142857144,206.14585971131933,,
Washington,9.6,13.9,7239800.0,26.966666666666665,108.94125436378957,,
West Virginia,11.8,24.8,1762100.0,31.5,73.30476745153507,,
Wisconsin,8.5,17.1,5643000.0,35.67857142857143,104.19513275970309,,
Wyoming,9.5,18.9,563300.0,38.470588235294116,5.801654084228523,,
Alabama,10.9,20.9,4752600.0,36.411764705882355,93.84144535492152,1.9,
Alaska,8.4,21.0,709100.0,22.0,1.2426376653622855,7.2,
Arizona,9.8,15.6,7004300.0,44.92307692307692,61.660827156363894,4.4,
Arkansas,9.6,22.3,2921300.0,35.416666666666664,56.14105890266167,2.5,
California,7.9,11.3,38745900.0,48.79245283018868,248.72351215504014,8.3,
Colorado,9.3,14.6,5555200.0,39.06060606060606,53.59989193570174,2.7,
Connecticut,10.7,12.7,3466300.0,37.625,715.8818669971087,1.9,
Delaware,10.6,17.0,937700.0,40.0,481.11852231913804,1.3,
Florida,7.5,16.1,20843500.0,34.69230769230769,388.6899766899767,3.0,
Georgia,8.4,17.5,10212800.0,34.793103448275865,177.5737659311808,2.2,
Hawaii,9.8,12.8,1354800.0,37.75,210.92947220924802,8.9,
Idaho,9.0,14.3,1719600.0,26.19047619047619,20.80756990912721,2.6,
Illinois,8.2,15.5,12438400.0,35.074074074074076,224.03861741025594,2.5,
Indiana,10.0,21.8,6487100.0,33.625,181.07240551554736,1.6,
Iowa,9.3,17.1,3056800.0,38.1875,54.725459655907045,1.7,
Kansas,9.1,17.4,2814700.0,32.63636363636363,34.426790934331386,2.6,
Kentucky,10.7,24.6,4320300.0,37.888888888888886,109.41346299954414,2.0,
Louisiana,9.0,23.1,4519300.0,33.65217391304348,104.60374039440792,2.2,
Maine,11.2,17.3,1299500.0,35.0,42.132736763609245,1.5,
Maryland,9.4,13.8,5870800.0,37.64705882352941,604.8006593180179,2.2,
Massachusetts,11.5,13.7,6659900.0,36.92307692307692,853.8333333333334,1.9,
Michigan,10.8,19.3,9770000.0,35.42857142857143,172.8010753639081,1.7,
Minnesota,7.3,14.5,5489000.0,32.0,68.93390432893365,2.1,
Mississippi,8.3,22.2,2879400.0,36.54545454545455,61.364362892398184,2.5,
Missouri,9.4,20.8,5934500.0,34.125,86.33004567804254,1.9,
Montana,9.1,17.2,1034000.0,29.42105263157895,7.1042831819493495,2.1,
Nebraska,8.2,15.4,1868900.0,27.555555555555557,24.327033218785797,2.2,
Nevada,10.4,17.6,2983400.0,37.0,27.175922973920805,4.3,
New Hampshire,13.2,15.7,1310300.0,35.285714285714285,146.35317770579695,1.6,
New Jersey,8.6,13.7,8728300.0,38.4375,1186.8778895839,3.4,
New Mexico,10.5,17.5,2045300.0,33.1875,16.86177842998236,3.0,
New York,9.2,14.1,19016900.0,31.193548387096776,403.53308152612146,5.0,
North Carolina,9.2,17.2,10044400.0,35.5,206.59837920111892,2.2,
North Dakota,8.6,18.3,730600.0,35.6,10.588252344168925,1.8,
Ohio,9.9,21.1,11355900.0,34.73809523809524,277.9153716257556,1.4,
Oklahoma,9.6,20.1,3816100.0,35.84615384615385,55.632334718273924,2.9,
Oregon,10.9,16.1,4110800.0,29.130434782608695,42.826186606659164,3.1,
Pennsylvania,10.1,18.7,12388100.0,36.975,276.8723599222225,1.5,
Rhode Island,12.3,14.9,1014000.0,35.0,980.6576402321083,1.9,
South Carolina,9.2,18.8,4929800.0,34.166666666666664,163.9932137986095,1.9,
South Dakota,7.3,19.3,848700.0,32.1,11.194945324557123,2.2,
Tennessee,10.0,22.6,6586400.0,35.17391304347826,159.7283860797866,1.8,
Texas,7.3,15.7,28024000.0,31.959183673469386,107.27629080663931,4.8,
Utah,8.9,8.9,3105900.0,44.266666666666666,37.79846659364732,3.5,
Vermont,11.8,15.8,600600.0,29.75,65.16220028208745,1.2,
Virginia,8.9,16.4,8182100.0,28.470588235294116,207.19422638642695,2.0,
Washington,10.5,13.5,7368000.0,26.1,110.87035030697002,3.3,
West Virginia,12.7,26.0,1752300.0,28.5625,72.89707962392878,1.2,
Wisconsin,9.5,16.0,5662800.0,37.92857142857143,104.56072971675468,1.6,
Wyoming,9.1,18.7,560300.0,39.55555555555556,5.77075587323494,2.8,
Alabama,10.5,19.2,4767100.0,38.64705882352941,94.12775199921019,1.8,
Alaska,9.2,19.1,701700.0,19.22222222222222,1.2296697923913633,6.5,
Arizona,10.0,14.0,7098000.0,42.76923076923077,62.485694666971845,4.5,
Arkansas,9.8,22.7,2922500.0,36.15384615384615,56.16412030364178,2.9,
California,8.5,11.2,38642700.0,43.83018867924528,248.06103518446002,8.3,
Colorado,9.1,14.5,5611800.0,34.07142857142857,54.14600258582428,2.5,
Connecticut,10.3,12.2,3453300.0,39.5,713.1970260223048,1.9,
Delaware,10.1,16.5,940300.0,42.333333333333336,482.4525397639815,1.9,
